TicketID,CreatedDateTime,CreatedDate,CreatedHour,PriorityKey,CategoryKey,TeamKey,AgentKey,Channel,Status,IsOpen,FirstResponseDateTime,ResolvedDateTime,ResolvedDate,ResponseDueDateTime,ResolutionDueDateTime,ResponseMinutes,ResolutionHours,ResponseSLAMet,ResolutionSLAMet,SLAStatus,ReassignmentCount,Reopened,CSATScore
INC1000014,2025-09-01 07:48:26,2025-09-01,7,3,15,4,34,Portal,Closed,0,2025-09-01 09:17:19,2025-09-02 03:26:41,2025-09-02,2025-09-01 09:48:26,2025-09-02 07:48:26,88.9,19.64,1,1,Met,0,0,5
INC1000015,2025-09-01 08:00:12,2025-09-01,8,3,1,1,3,Portal,Closed,0,2025-09-01 08:30:41,2025-09-02 13:53:08,2025-09-02,2025-09-01 10:00:12,2025-09-02 08:00:12,30.5,29.88,1,0,Breached,1,0,
INC1000016,2025-09-01 08:02:26,2025-09-01,8,3,19,6,39,Portal,Closed,0,2025-09-01 08:48:14,2025-09-01 17:26:35,2025-09-01,2025-09-01 10:02:26,2025-09-02 08:02:26,45.8,9.4,1,1,Met,1,1,
INC1000017,2025-09-01 08:05:00,2025-09-01,8,3,13,3,23,Email,Closed,0,2025-09-01 09:13:16,2025-09-01 17:42:15,2025-09-01,2025-09-01 10:05:00,2025-09-02 08:05:00,68.3,9.62,1,1,Met,0,0,5
INC1000018,2025-09-01 08:08:31,2025-09-01,8,3,12,3,25,Portal,Closed,0,2025-09-01 09:18:07,2025-09-01 17:22:23,2025-09-01,2025-09-01 10:08:31,2025-09-02 08:08:31,69.6,9.23,1,1,Met,0,1,
INC1000019,2025-09-01 08:15:56,2025-09-01,8,2,12,3,29,Phone,Closed,0,2025-09-01 08:22:14,2025-09-01 09:47:16,2025-09-01,2025-09-01 08:45:56,2025-09-01 16:15:56,6.3,1.52,1,1,Met,0,0,5
INC1000020,2025-09-01 08:17:44,2025-09-01,8,4,4,1,8,Portal,Closed,0,2025-09-01 12:05:02,2025-09-01 21:57:47,2025-09-01,2025-09-01 16:17:44,2025-09-04 08:17:44,227.3,13.67,1,1,Met,0,0,4
INC1000021,2025-09-01 08:18:18,2025-09-01,8,3,1,1,8,Portal,Closed,0,2025-09-01 08:52:45,2025-09-01 13:24:21,2025-09-01,2025-09-01 10:18:18,2025-09-02 08:18:18,34.5,5.1,1,1,Met,0,0,
INC1000022,2025-09-01 08:27:16,2025-09-01,8,3,20,6,40,Email,Closed,0,2025-09-01 10:29:59,2025-09-01 17:07:49,2025-09-01,2025-09-01 10:27:16,2025-09-02 08:27:16,122.7,8.68,0,1,Met,1,0,
INC1000023,2025-09-01 08:32:59,2025-09-01,8,3,12,3,23,Chat,Closed,0,2025-09-01 09:02:44,2025-09-02 04:46:08,2025-09-02,2025-09-01 10:32:59,2025-09-02 08:32:59,29.8,20.22,1,1,Met,0,0,5
INC1000024,2025-09-01 08:40:55,2025-09-01,8,4,5,1,6,Email,Closed,0,2025-09-01 14:29:55,2025-09-01 19:07:19,2025-09-01,2025-09-01 16:40:55,2025-09-04 08:40:55,349.0,10.44,1,1,Met,0,0,4
INC1000025,2025-09-01 08:43:36,2025-09-01,8,3,11,3,27,Portal,Closed,0,2025-09-01 09:01:43,2025-09-01 18:00:22,2025-09-01,2025-09-01 10:43:36,2025-09-02 08:43:36,18.1,9.28,1,1,Met,0,0,
INC1000026,2025-09-01 08:44:42,2025-09-01,8,4,1,1,7,Email,Closed,0,2025-09-01 12:16:29,2025-09-01 20:01:09,2025-09-01,2025-09-01 16:44:42,2025-09-04 08:44:42,211.8,11.27,1,1,Met,0,0,4
INC1000027,2025-09-01 08:45:42,2025-09-01,8,4,7,2,15,Portal,Closed,0,2025-09-01 12:45:16,2025-09-02 07:50:35,2025-09-02,2025-09-01 16:45:42,2025-09-04 08:45:42,239.6,23.08,1,1,Met,0,0,
INC1000028,2025-09-01 08:47:36,2025-09-01,8,1,10,3,24,Email,Closed,0,2025-09-01 08:50:15,2025-09-01 11:12:22,2025-09-01,2025-09-01 09:02:36,2025-09-01 12:47:36,2.7,2.41,1,1,Met,0,0,5
INC1000029,2025-09-01 08:50:04,2025-09-01,8,4,15,4,30,Portal,Closed,0,2025-09-01 10:51:44,2025-09-02 11:55:22,2025-09-02,2025-09-01 16:50:04,2025-09-04 08:50:04,121.7,27.09,1,1,Met,0,0,
INC1000030,2025-09-01 08:50:31,2025-09-01,8,4,1,1,7,Portal,Closed,0,2025-09-01 12:17:38,2025-09-01 12:20:38,2025-09-01,2025-09-01 16:50:31,2025-09-04 08:50:31,207.1,3.5,1,1,Met,0,0,
INC1000031,2025-09-01 08:51:06,2025-09-01,8,4,1,1,4,Portal,Closed,0,2025-09-01 11:14:25,2025-09-01 20:24:31,2025-09-01,2025-09-01 16:51:06,2025-09-04 08:51:06,143.3,11.56,1,1,Met,0,0,
INC1000032,2025-09-01 08:56:06,2025-09-01,8,2,9,2,15,Chat,Closed,0,2025-09-01 09:03:41,2025-09-01 17:32:20,2025-09-01,2025-09-01 09:26:06,2025-09-01 16:56:06,7.6,8.6,1,0,Breached,5,0,
INC1000033,2025-09-01 09:00:33,2025-09-01,9,3,12,3,23,Portal,Closed,0,2025-09-01 10:00:09,2025-09-01 12:28:20,2025-09-01,2025-09-01 11:00:33,2025-09-02 09:00:33,59.6,3.46,1,1,Met,0,0,4
INC1000034,2025-09-01 09:03:27,2025-09-01,9,3,3,1,9,Phone,Closed,0,2025-09-01 09:56:53,2025-09-01 14:31:39,2025-09-01,2025-09-01 11:03:27,2025-09-02 09:03:27,53.4,5.47,1,1,Met,0,0,
INC1000035,2025-09-01 09:03:59,2025-09-01,9,4,5,1,14,Chat,Closed,0,2025-09-01 11:09:41,2025-09-03 05:57:03,2025-09-03,2025-09-01 17:03:59,2025-09-04 09:03:59,125.7,44.88,1,1,Met,1,0,4
INC1000036,2025-09-01 09:05:29,2025-09-01,9,4,5,1,11,Portal,Closed,0,2025-09-01 12:14:58,2025-09-03 12:17:34,2025-09-03,2025-09-01 17:05:29,2025-09-04 09:05:29,189.5,51.2,1,1,Met,0,0,
INC1000037,2025-09-01 09:06:46,2025-09-01,9,4,12,3,27,Phone,Closed,0,2025-09-01 10:35:37,2025-09-02 01:18:39,2025-09-02,2025-09-01 17:06:46,2025-09-04 09:06:46,88.9,16.2,1,1,Met,0,0,
INC1000038,2025-09-01 09:07:52,2025-09-01,9,2,7,2,16,Portal,Closed,0,2025-09-01 09:11:57,2025-09-02 00:29:56,2025-09-02,2025-09-01 09:37:52,2025-09-01 17:07:52,4.1,15.37,1,0,Breached,5,0,
INC1000039,2025-09-01 09:15:23,2025-09-01,9,4,1,1,6,Phone,Closed,0,2025-09-01 16:07:14,2025-09-02 05:43:09,2025-09-02,2025-09-01 17:15:23,2025-09-04 09:15:23,411.9,20.46,1,1,Met,0,0,
INC1000040,2025-09-01 09:17:19,2025-09-01,9,3,17,5,37,Portal,Closed,0,2025-09-01 10:02:24,2025-09-01 12:50:51,2025-09-01,2025-09-01 11:17:19,2025-09-02 09:17:19,45.1,3.56,1,1,Met,0,0,
INC1000041,2025-09-01 09:18:23,2025-09-01,9,4,12,3,27,Phone,Closed,0,2025-09-01 10:31:15,2025-09-03 01:42:12,2025-09-03,2025-09-01 17:18:23,2025-09-04 09:18:23,72.9,40.4,1,1,Met,0,0,5
INC1000042,2025-09-01 09:26:49,2025-09-01,9,3,3,1,13,Phone,Closed,0,2025-09-01 09:47:16,2025-09-01 21:00:59,2025-09-01,2025-09-01 11:26:49,2025-09-02 09:26:49,20.5,11.57,1,1,Met,0,0,
INC1000043,2025-09-01 09:26:56,2025-09-01,9,4,1,1,6,Portal,Closed,0,2025-09-01 13:26:27,2025-09-01 23:24:31,2025-09-01,2025-09-01 17:26:56,2025-09-04 09:26:56,239.5,13.96,1,1,Met,0,0,5
INC1000044,2025-09-01 09:29:38,2025-09-01,9,3,10,3,26,Phone,Closed,0,2025-09-01 09:57:31,2025-09-02 04:17:50,2025-09-02,2025-09-01 11:29:38,2025-09-02 09:29:38,27.9,18.8,1,1,Met,1,0,
INC1000045,2025-09-01 09:30:43,2025-09-01,9,4,16,4,32,Chat,Closed,0,2025-09-01 13:04:00,2025-09-02 03:29:04,2025-09-02,2025-09-01 17:30:43,2025-09-04 09:30:43,213.3,17.97,1,1,Met,0,0,
INC1000046,2025-09-01 09:33:44,2025-09-01,9,3,1,1,13,Portal,Closed,0,2025-09-01 10:07:32,2025-09-01 17:48:18,2025-09-01,2025-09-01 11:33:44,2025-09-02 09:33:44,33.8,8.24,1,1,Met,0,0,
INC1000047,2025-09-01 09:34:29,2025-09-01,9,2,10,3,21,Email,Closed,0,2025-09-01 09:57:00,2025-09-01 11:30:09,2025-09-01,2025-09-01 10:04:29,2025-09-01 17:34:29,22.5,1.93,1,1,Met,0,0,4
INC1000048,2025-09-01 09:35:03,2025-09-01,9,4,12,3,24,Phone,Closed,0,2025-09-01 15:11:26,2025-09-08 06:13:25,2025-09-08,2025-09-01 17:35:03,2025-09-04 09:35:03,336.4,164.64,1,0,Breached,0,0,
INC1000049,2025-09-01 09:36:24,2025-09-01,9,3,2,1,8,Portal,Closed,0,2025-09-01 10:33:02,2025-09-01 15:27:00,2025-09-01,2025-09-01 11:36:24,2025-09-02 09:36:24,56.6,5.84,1,1,Met,0,0,5
INC1000050,2025-09-01 09:38:04,2025-09-01,9,3,9,2,17,Email,Closed,0,2025-09-01 11:50:56,2025-09-01 14:20:24,2025-09-01,2025-09-01 11:38:04,2025-09-02 09:38:04,132.9,4.71,0,1,Met,0,0,
INC1000051,2025-09-01 09:40:02,2025-09-01,9,3,1,1,3,Email,Closed,0,2025-09-01 10:20:14,2025-09-01 15:00:51,2025-09-01,2025-09-01 11:40:02,2025-09-02 09:40:02,40.2,5.35,1,1,Met,0,1,
INC1000052,2025-09-01 09:49:18,2025-09-01,9,3,3,1,11,Portal,Closed,0,2025-09-01 10:38:12,2025-09-01 23:13:36,2025-09-01,2025-09-01 11:49:18,2025-09-02 09:49:18,48.9,13.41,1,1,Met,1,0,4
INC1000053,2025-09-01 09:53:33,2025-09-01,9,4,1,1,2,Portal,Closed,0,2025-09-01 11:12:34,2025-09-01 22:42:49,2025-09-01,2025-09-01 17:53:33,2025-09-04 09:53:33,79.0,12.82,1,1,Met,0,0,
INC1000054,2025-09-01 09:55:22,2025-09-01,9,4,4,1,12,Email,Closed,0,2025-09-01 12:49:42,2025-09-04 15:56:19,2025-09-04,2025-09-01 17:55:22,2025-09-04 09:55:22,174.3,78.02,1,0,Breached,0,1,3
INC1000055,2025-09-01 09:55:47,2025-09-01,9,4,10,3,22,Portal,Closed,0,2025-09-01 12:21:38,2025-09-03 10:51:16,2025-09-03,2025-09-01 17:55:47,2025-09-04 09:55:47,145.9,48.92,1,1,Met,0,0,
INC1000056,2025-09-01 09:57:50,2025-09-01,9,3,1,1,13,Portal,Closed,0,2025-09-01 11:34:30,2025-09-01 17:31:05,2025-09-01,2025-09-01 11:57:50,2025-09-02 09:57:50,96.7,7.55,1,1,Met,0,0,4
INC1000057,2025-09-01 09:58:30,2025-09-01,9,1,14,4,31,Portal,Closed,0,2025-09-01 10:01:07,2025-09-01 12:48:51,2025-09-01,2025-09-01 10:13:30,2025-09-01 13:58:30,2.6,2.84,1,1,Met,1,0,4
INC1000058,2025-09-01 10:01:00,2025-09-01,10,4,1,1,8,Portal,Closed,0,2025-09-01 13:37:29,2025-09-01 13:40:29,2025-09-01,2025-09-01 18:01:00,2025-09-04 10:01:00,216.5,3.66,1,1,Met,0,0,
INC1000059,2025-09-01 10:02:02,2025-09-01,10,4,12,3,24,Portal,Closed,0,2025-09-01 13:15:25,2025-09-02 05:45:14,2025-09-02,2025-09-01 18:02:02,2025-09-04 10:02:02,193.4,19.72,1,1,Met,1,0,
INC1000060,2025-09-01 10:05:26,2025-09-01,10,3,9,2,20,Portal,Closed,0,2025-09-01 10:57:25,2025-09-01 17:35:27,2025-09-01,2025-09-01 12:05:26,2025-09-02 10:05:26,52.0,7.5,1,1,Met,0,0,4
INC1000061,2025-09-01 10:05:30,2025-09-01,10,4,3,1,14,Email,Closed,0,2025-09-01 18:29:01,2025-09-01 22:32:22,2025-09-01,2025-09-01 18:05:30,2025-09-04 10:05:30,503.5,12.45,0,1,Met,0,0,
INC1000062,2025-09-01 10:06:36,2025-09-01,10,3,5,1,14,Email,Closed,0,2025-09-01 11:14:06,2025-09-02 22:23:13,2025-09-02,2025-09-01 12:06:36,2025-09-02 10:06:36,67.5,36.28,1,0,Breached,0,0,
INC1000063,2025-09-01 10:09:47,2025-09-01,10,1,9,2,16,Phone,Closed,0,2025-09-01 10:14:40,2025-09-01 12:21:00,2025-09-01,2025-09-01 10:24:47,2025-09-01 14:09:47,4.9,2.19,1,1,Met,0,0,4
INC1000064,2025-09-01 10:14:23,2025-09-01,10,4,11,3,24,Portal,Closed,0,2025-09-01 14:42:46,2025-09-02 03:21:06,2025-09-02,2025-09-01 18:14:23,2025-09-04 10:14:23,268.4,17.11,1,1,Met,0,0,
INC1000065,2025-09-01 10:16:02,2025-09-01,10,4,1,1,2,Phone,Closed,0,2025-09-01 11:29:32,2025-09-01 20:58:59,2025-09-01,2025-09-01 18:16:02,2025-09-04 10:16:02,73.5,10.72,1,1,Met,0,0,
INC1000066,2025-09-01 10:16:38,2025-09-01,10,4,1,1,9,Phone,Closed,0,2025-09-01 11:59:43,2025-09-02 00:59:42,2025-09-02,2025-09-01 18:16:38,2025-09-04 10:16:38,103.1,14.72,1,1,Met,0,0,
INC1000067,2025-09-01 10:17:55,2025-09-01,10,3,4,1,6,Email,Closed,0,2025-09-01 12:04:18,2025-09-01 16:41:15,2025-09-01,2025-09-01 12:17:55,2025-09-02 10:17:55,106.4,6.39,1,1,Met,0,0,4
INC1000068,2025-09-01 10:22:21,2025-09-01,10,4,1,1,14,Chat,Closed,0,2025-09-01 11:52:40,2025-09-01 16:36:55,2025-09-01,2025-09-01 18:22:21,2025-09-04 10:22:21,90.3,6.24,1,1,Met,0,0,
INC1000069,2025-09-01 10:25:23,2025-09-01,10,4,12,3,27,Email,Closed,0,2025-09-01 13:09:34,2025-09-02 15:03:17,2025-09-02,2025-09-01 18:25:23,2025-09-04 10:25:23,164.2,28.63,1,1,Met,0,0,4
INC1000070,2025-09-01 10:27:37,2025-09-01,10,3,1,1,12,Email,Closed,0,2025-09-01 11:36:54,2025-09-01 23:25:22,2025-09-01,2025-09-01 12:27:37,2025-09-02 10:27:37,69.3,12.96,1,1,Met,1,0,
INC1000071,2025-09-01 10:32:07,2025-09-01,10,3,12,3,25,Portal,Closed,0,2025-09-01 11:35:36,2025-09-01 23:01:33,2025-09-01,2025-09-01 12:32:07,2025-09-02 10:32:07,63.5,12.49,1,1,Met,0,0,
INC1000072,2025-09-01 10:36:03,2025-09-01,10,2,9,2,17,Phone,Closed,0,2025-09-01 10:43:52,2025-09-01 18:28:38,2025-09-01,2025-09-01 11:06:03,2025-09-01 18:36:03,7.8,7.88,1,1,Met,3,0,
INC1000073,2025-09-01 10:36:32,2025-09-01,10,3,11,3,26,Portal,Closed,0,2025-09-01 11:31:14,2025-09-01 14:21:54,2025-09-01,2025-09-01 12:36:32,2025-09-02 10:36:32,54.7,3.76,1,1,Met,0,0,
INC1000074,2025-09-01 10:39:59,2025-09-01,10,4,1,1,11,Portal,Closed,0,2025-09-01 12:30:42,2025-09-01 16:05:30,2025-09-01,2025-09-01 18:39:59,2025-09-04 10:39:59,110.7,5.43,1,1,Met,0,1,4
INC1000075,2025-09-01 10:42:28,2025-09-01,10,3,1,1,11,Chat,Closed,0,2025-09-01 11:42:33,2025-09-01 12:25:34,2025-09-01,2025-09-01 12:42:28,2025-09-02 10:42:28,60.1,1.72,1,1,Met,0,0,
INC1000076,2025-09-01 10:43:30,2025-09-01,10,2,15,4,32,Phone,Closed,0,2025-09-01 10:46:10,2025-09-01 13:50:52,2025-09-01,2025-09-01 11:13:30,2025-09-01 18:43:30,2.7,3.12,1,1,Met,0,1,
INC1000077,2025-09-01 10:43:43,2025-09-01,10,2,14,4,32,Email,Closed,0,2025-09-01 10:54:51,2025-09-01 19:11:04,2025-09-01,2025-09-01 11:13:43,2025-09-01 18:43:43,11.1,8.46,1,0,Breached,2,0,
INC1000078,2025-09-01 10:52:21,2025-09-01,10,3,8,2,16,Phone,Closed,0,2025-09-01 11:25:08,2025-09-01 21:44:08,2025-09-01,2025-09-01 12:52:21,2025-09-02 10:52:21,32.8,10.86,1,1,Met,0,0,3
INC1000079,2025-09-01 10:55:28,2025-09-01,10,4,1,1,13,Portal,Closed,0,2025-09-01 14:48:17,2025-09-02 06:53:50,2025-09-02,2025-09-01 18:55:28,2025-09-04 10:55:28,232.8,19.97,1,1,Met,0,0,4
INC1000080,2025-09-01 11:00:52,2025-09-01,11,3,1,1,3,Chat,Closed,0,2025-09-01 11:38:27,2025-09-01 22:34:02,2025-09-01,2025-09-01 13:00:52,2025-09-02 11:00:52,37.6,11.55,1,1,Met,2,0,5
INC1000081,2025-09-01 11:01:04,2025-09-01,11,4,2,1,2,Email,Closed,0,2025-09-01 13:56:43,2025-09-02 00:08:46,2025-09-02,2025-09-01 19:01:04,2025-09-04 11:01:04,175.7,13.13,1,1,Met,0,0,5
INC1000082,2025-09-01 11:02:20,2025-09-01,11,4,6,1,13,Portal,Closed,0,2025-09-01 14:25:37,2025-09-03 08:18:31,2025-09-03,2025-09-01 19:02:20,2025-09-04 11:02:20,203.3,45.27,1,1,Met,1,0,
INC1000083,2025-09-01 11:05:11,2025-09-01,11,3,13,3,25,Portal,Closed,0,2025-09-01 11:51:45,2025-09-01 23:33:41,2025-09-01,2025-09-01 13:05:11,2025-09-02 11:05:11,46.6,12.48,1,1,Met,0,0,5
INC1000084,2025-09-01 11:05:51,2025-09-01,11,2,1,1,2,Phone,Closed,0,2025-09-01 11:09:56,2025-09-01 11:21:43,2025-09-01,2025-09-01 11:35:51,2025-09-01 19:05:51,4.1,0.26,1,1,Met,0,1,
INC1000085,2025-09-01 11:07:55,2025-09-01,11,4,11,3,25,Portal,Closed,0,2025-09-01 16:49:36,2025-09-02 01:29:47,2025-09-02,2025-09-01 19:07:55,2025-09-04 11:07:55,341.7,14.36,1,1,Met,0,0,4
INC1000086,2025-09-01 11:08:09,2025-09-01,11,4,13,3,27,Portal,Closed,0,2025-09-01 15:15:42,2025-09-01 18:28:44,2025-09-01,2025-09-01 19:08:09,2025-09-04 11:08:09,247.6,7.34,1,1,Met,0,0,
INC1000087,2025-09-01 11:13:55,2025-09-01,11,1,12,3,25,Email,Closed,0,2025-09-01 11:18:13,2025-09-01 12:03:03,2025-09-01,2025-09-01 11:28:55,2025-09-01 15:13:55,4.3,0.82,1,1,Met,0,0,3
INC1000088,2025-09-01 11:26:37,2025-09-01,11,3,4,1,4,Email,Closed,0,2025-09-01 12:50:13,2025-09-01 16:09:35,2025-09-01,2025-09-01 13:26:37,2025-09-02 11:26:37,83.6,4.72,1,1,Met,0,0,4
INC1000089,2025-09-01 11:32:14,2025-09-01,11,4,10,3,27,Portal,Closed,0,2025-09-01 14:56:02,2025-09-06 10:37:55,2025-09-06,2025-09-01 19:32:14,2025-09-04 11:32:14,203.8,119.09,1,0,Breached,2,0,2
INC1000090,2025-09-01 11:36:08,2025-09-01,11,3,8,2,16,Chat,Closed,0,2025-09-01 11:53:56,2025-09-02 06:24:49,2025-09-02,2025-09-01 13:36:08,2025-09-02 11:36:08,17.8,18.81,1,1,Met,0,0,
INC1000091,2025-09-01 11:39:16,2025-09-01,11,2,11,3,26,Portal,Closed,0,2025-09-01 11:49:48,2025-09-01 12:17:58,2025-09-01,2025-09-01 12:09:16,2025-09-01 19:39:16,10.5,0.65,1,1,Met,0,0,
INC1000092,2025-09-01 11:41:11,2025-09-01,11,4,12,3,24,Portal,Closed,0,2025-09-01 15:27:25,2025-09-01 22:24:32,2025-09-01,2025-09-01 19:41:11,2025-09-04 11:41:11,226.2,10.72,1,1,Met,0,0,
INC1000093,2025-09-01 11:43:18,2025-09-01,11,3,16,4,31,Portal,Closed,0,2025-09-01 12:34:08,2025-09-02 05:15:30,2025-09-02,2025-09-01 13:43:18,2025-09-02 11:43:18,50.8,17.54,1,1,Met,1,0,
INC1000094,2025-09-01 11:45:25,2025-09-01,11,3,19,6,40,Chat,Closed,0,2025-09-01 11:54:50,2025-09-01 17:26:32,2025-09-01,2025-09-01 13:45:25,2025-09-02 11:45:25,9.4,5.69,1,1,Met,0,0,4
INC1000095,2025-09-01 11:46:09,2025-09-01,11,4,3,1,7,Phone,Closed,0,2025-09-01 12:27:31,2025-09-02 18:34:27,2025-09-02,2025-09-01 19:46:09,2025-09-04 11:46:09,41.4,30.81,1,1,Met,1,0,
INC1000096,2025-09-01 11:46:09,2025-09-01,11,3,19,6,38,Email,Closed,0,2025-09-01 12:14:58,2025-09-01 16:48:08,2025-09-01,2025-09-01 13:46:09,2025-09-02 11:46:09,28.8,5.03,1,1,Met,0,0,
INC1000097,2025-09-01 11:46:28,2025-09-01,11,3,12,3,27,Chat,Closed,0,2025-09-01 12:14:21,2025-09-01 17:52:28,2025-09-01,2025-09-01 13:46:28,2025-09-02 11:46:28,27.9,6.1,1,1,Met,0,0,3
INC1000098,2025-09-01 11:53:50,2025-09-01,11,2,9,2,16,Email,Closed,0,2025-09-01 12:15:59,2025-09-01 19:37:28,2025-09-01,2025-09-01 12:23:50,2025-09-01 19:53:50,22.2,7.73,1,1,Met,2,0,4
INC1000099,2025-09-01 11:58:45,2025-09-01,11,4,1,1,12,Phone,Closed,0,2025-09-01 13:19:14,2025-09-02 07:05:00,2025-09-02,2025-09-01 19:58:45,2025-09-04 11:58:45,80.5,19.1,1,1,Met,0,0,
INC1000100,2025-09-01 12:04:44,2025-09-01,12,4,2,1,13,Email,Closed,0,2025-09-01 16:18:06,2025-09-02 07:10:40,2025-09-02,2025-09-01 20:04:44,2025-09-04 12:04:44,253.4,19.1,1,1,Met,0,0,3
INC1000101,2025-09-01 12:06:11,2025-09-01,12,4,2,1,9,Phone,Closed,0,2025-09-01 13:20:11,2025-09-01 16:32:57,2025-09-01,2025-09-01 20:06:11,2025-09-04 12:06:11,74.0,4.45,1,1,Met,0,0,3
INC1000102,2025-09-01 12:25:25,2025-09-01,12,4,4,1,7,Chat,Closed,0,2025-09-01 13:37:56,2025-09-02 16:26:32,2025-09-02,2025-09-01 20:25:25,2025-09-04 12:25:25,72.5,28.02,1,1,Met,0,0,5
INC1000103,2025-09-01 12:31:47,2025-09-01,12,4,9,2,17,Portal,Closed,0,2025-09-01 14:13:00,2025-09-02 15:17:42,2025-09-02,2025-09-01 20:31:47,2025-09-04 12:31:47,101.2,26.77,1,1,Met,1,1,4
INC1000104,2025-09-01 12:33:07,2025-09-01,12,3,1,1,13,Portal,Closed,0,2025-09-01 14:14:59,2025-09-02 07:53:05,2025-09-02,2025-09-01 14:33:07,2025-09-02 12:33:07,101.9,19.33,1,1,Met,0,0,5
INC1000105,2025-09-01 12:35:08,2025-09-01,12,3,1,1,10,Portal,Closed,0,2025-09-01 14:01:37,2025-09-01 14:42:17,2025-09-01,2025-09-01 14:35:08,2025-09-02 12:35:08,86.5,2.12,1,1,Met,0,0,
INC1000106,2025-09-01 12:39:25,2025-09-01,12,3,9,2,20,Portal,Closed,0,2025-09-01 13:21:20,2025-09-01 20:00:29,2025-09-01,2025-09-01 14:39:25,2025-09-02 12:39:25,41.9,7.35,1,1,Met,0,0,
INC1000107,2025-09-01 12:39:42,2025-09-01,12,3,3,1,2,Portal,Closed,0,2025-09-01 13:02:26,2025-09-01 20:03:08,2025-09-01,2025-09-01 14:39:42,2025-09-02 12:39:42,22.7,7.39,1,1,Met,0,0,4
